From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
14571717	Q32MK0	reviewed	MYLK3_HUMAN	Myosin light chain kinase 3 (EC 2.7.11.18) (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK)	MYLK3 MLCK	Homo sapiens (Human)	819
4503093	P49674	reviewed	KC1E_HUMAN	Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1)	CSNK1E	Homo sapiens (Human)	416
4590042	Q9Y6M4	reviewed	KC1G3_HUMAN	Casein kinase I isoform gamma-3 (CKI-gamma 3) (EC 2.7.11.1)	CSNK1G3	Homo sapiens (Human)	447
973307	Q13164	reviewed	MK07_HUMAN	Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5)	MAPK7 BMK1 ERK5 PRKM7	Homo sapiens (Human)	816
5917732	Q9UBE8	reviewed	NLK_HUMAN	Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase) (Protein LAK1)	NLK LAK1	Homo sapiens (Human)	527
19263187	Q8TD08	reviewed	MK15_HUMAN	Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)	MAPK15 ERK7 ERK8	Homo sapiens (Human)	544
7160989	Q9NY57	reviewed	ST32B_HUMAN	Serine/threonine-protein kinase 32B (EC 2.7.11.1) (Yet another novel kinase 2)	STK32B YANK2 UNQ3003/PRO9744	Homo sapiens (Human)	414
1170703	P31751	reviewed	AKT2_HUMAN	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)	481
1730070	P51812	reviewed	KS6A3_HUMAN	Ribosomal protein S6 kinase alpha-3 (S6K-alpha-3) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 3) (p90-RSK 3) (p90RSK3) (Insulin-stimulated protein kinase 1) (ISPK-1) (MAP kinase-activated protein kinase 1b) (MAPK-activated protein kinase 1b) (MAPKAP kinase 1b) (MAPKAPK-1b) (Ribosomal S6 kinase 2) (RSK-2) (pp90RSK2)	RPS6KA3 ISPK1 MAPKAPK1B RSK2	Homo sapiens (Human)	740
401772	Q15349	reviewed	KS6A2_HUMAN	Ribosomal protein S6 kinase alpha-2 (S6K-alpha-2) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 2) (p90-RSK 2) (p90RSK2) (MAP kinase-activated protein kinase 1c) (MAPK-activated protein kinase 1c) (MAPKAP kinase 1c) (MAPKAPK-1c) (Ribosomal S6 kinase 3) (RSK-3) (pp90RSK3)	RPS6KA2 MAPKAPK1C RSK3	Homo sapiens (Human)	733
2822147	P05771	reviewed	KPCB_HUMAN	Protein kinase C beta type (PKC-B) (PKC-beta) (EC 2.7.11.13)	PRKCB PKCB PRKCB1	Homo sapiens (Human)	671
3411157	O75582	reviewed	KS6A5_HUMAN	Ribosomal protein S6 kinase alpha-5 (S6K-alpha-5) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 5) (Nuclear mitogen- and stress-activated protein kinase 1) (RSK-like protein kinase) (RSKL)	RPS6KA5 MSK1	Homo sapiens (Human)	802
4506735	O75676	reviewed	KS6A4_HUMAN	Ribosomal protein S6 kinase alpha-4 (S6K-alpha-4) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 4) (Nuclear mitogen- and stress-activated protein kinase 2) (Ribosomal protein kinase B) (RSKB)	RPS6KA4 MSK2	Homo sapiens (Human)	772
4826948	P51817	reviewed	PRKX_HUMAN	cAMP-dependent protein kinase catalytic subunit PRKX (PrKX) (Protein kinase X) (Protein kinase X-linked) (Serine/threonine-protein kinase PRKX) (EC 2.7.11.1) (Protein kinase PKX1)	PRKX PKX1	Homo sapiens (Human)	358
5453974	Q16513	reviewed	PKN2_HUMAN	Serine/threonine-protein kinase N2 (EC 2.7.11.13) (PKN gamma) (Protein kinase C-like 2) (Protein-kinase C-related kinase 2)	PKN2 PRK2 PRKCL2	Homo sapiens (Human)	984
5453976	Q04759	reviewed	KPCT_HUMAN	Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta)	PRKCQ PRKCT	Homo sapiens (Human)	706
6467562	Q9UK32	reviewed	KS6A6_HUMAN	Ribosomal protein S6 kinase alpha-6 (S6K-alpha-6) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 6) (p90-RSK 6) (p90RSK6) (Ribosomal S6 kinase 4) (RSK-4) (pp90RSK4)	RPS6KA6 RSK4	Homo sapiens (Human)	745
6470350	Q9HBY8	reviewed	SGK2_HUMAN	Serine/threonine-protein kinase Sgk2 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 2)	SGK2	Homo sapiens (Human)	367
15929013	Q15418	reviewed	KS6A1_HUMAN	Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1)	RPS6KA1 MAPKAPK1A RSK1	Homo sapiens (Human)	735
16553658	Q96LW2	reviewed	KS6R_HUMAN	Ribosomal protein S6 kinase-related protein (EC 2.7.11.1) (Sugen kinase 494)	RSKR SGK494	Homo sapiens (Human)	410
561543	Q12852	reviewed	M3K12_HUMAN	Mitogen-activated protein kinase kinase kinase 12 (EC 2.7.11.25) (Dual leucine zipper bearing kinase) (DLK) (Leucine-zipper protein kinase) (ZPK) (MAPK-upstream kinase) (MUK) (Mixed lineage kinase)	MAP3K12 ZPK	Homo sapiens (Human)	859
12005724	P80192	reviewed	M3K9_HUMAN	Mitogen-activated protein kinase kinase kinase 9 (EC 2.7.11.25) (Mixed lineage kinase 1)	MAP3K9 MLK1 PRKE1	Homo sapiens (Human)	1104
2627331	Q9H422	reviewed	HIPK3_HUMAN	Homeodomain-interacting protein kinase 3 (EC 2.7.11.1) (Androgen receptor-interacting nuclear protein kinase) (ANPK) (Fas-interacting serine/threonine-protein kinase) (FIST) (Homolog of protein kinase YAK1)	HIPK3 DYRK6 FIST3 PKY	Homo sapiens (Human)	1215
4503427	Q92630	reviewed	DYRK2_HUMAN	Dual specificity tyrosine-phosphorylation-regulated kinase 2 (EC 2.7.12.1)	DYRK2	Homo sapiens (Human)	601
16553058	Q8NE63	reviewed	HIPK4_HUMAN	Homeodomain-interacting protein kinase 4 (EC 2.7.11.1)	HIPK4	Homo sapiens (Human)	616
2811086	P00533	reviewed	EGFR_HUMAN	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	1210
119533	P04626	reviewed	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	ERBB2 HER2 MLN19 NEU NGL	Homo sapiens (Human)	1255
119534	P21860	reviewed	ERBB3_HUMAN	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	ERBB3 HER3	Homo sapiens (Human)	1342
5031689	O94806	reviewed	KPCD3_HUMAN	Serine/threonine-protein kinase D3 (EC 2.7.11.13) (Protein kinase C nu type) (Protein kinase EPK2) (nPKC-nu)	PRKD3 EPK2 PRKCN	Homo sapiens (Human)	890
1944185	Q9H2G2	reviewed	SLK_HUMAN	STE20-like serine/threonine-protein kinase (STE20-like kinase) (hSLK) (EC 2.7.11.1) (CTCL tumor antigen se20-9) (STE20-related serine/threonine-protein kinase) (STE20-related kinase) (Serine/threonine-protein kinase 2)	SLK KIAA0204 STK2	Homo sapiens (Human)	1235
5326766	Q9Y6E0	reviewed	STK24_HUMAN	Serine/threonine-protein kinase 24 (EC 2.7.11.1) (Mammalian STE20-like protein kinase 3) (MST-3) (STE20-like kinase MST3) [Cleaved into: Serine/threonine-protein kinase 24 36 kDa subunit (Mammalian STE20-like protein kinase 3 N-terminal) (MST3/N); Serine/threonine-protein kinase 24 12 kDa subunit (Mammalian STE20-like protein kinase 3 C-terminal) (MST3/C)]	STK24 MST3 STK3	Homo sapiens (Human)	443
6005810	Q92918	reviewed	M4K1_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 1 (EC 2.7.11.1) (Hematopoietic progenitor kinase) (MAPK/ERK kinase kinase kinase 1) (MEK kinase kinase 1) (MEKKK 1)	MAP4K1 HPK1	Homo sapiens (Human)	833
6110362	Q9UKE5	reviewed	TNIK_HUMAN	TRAF2 and NCK-interacting protein kinase (EC 2.7.11.1)	TNIK KIAA0551	Homo sapiens (Human)	1360
6624079	Q8IVH8	reviewed	M4K3_HUMAN	Mitogen-activated protein kinase kinase kinase kinase 3 (EC 2.7.11.1) (Germinal center kinase-related protein kinase) (GLK) (MAPK/ERK kinase kinase kinase 3) (MEK kinase kinase 3) (MEKKK 3)	MAP4K3 RAB8IPL1	Homo sapiens (Human)	894
4507903	Q99986	reviewed	VRK1_HUMAN	Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1)	VRK1	Homo sapiens (Human)	396
1679668	Q99683	reviewed	M3K5_HUMAN	Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5)	MAP3K5 ASK1 MAPKKK5 MEKK5	Homo sapiens (Human)	1374
3075509	Q9NYY3	reviewed	PLK2_HUMAN	Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase)	PLK2 SNK	Homo sapiens (Human)	685
10636488	Q9H4B4	reviewed	PLK3_HUMAN	Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase)	PLK3 CNK FNK PRK	Homo sapiens (Human)	646
306479	Q16566	reviewed	KCC4_HUMAN	Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR)	CAMK4 CAMK CAMK-GR CAMKIV	Homo sapiens (Human)	473
4426595	Q13557	reviewed	KCC2D_HUMAN	Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17)	CAMK2D CAMKD	Homo sapiens (Human)	499
9965398	Q9HAZ1	reviewed	CLK4_HUMAN	Dual specificity protein kinase CLK4 (EC 2.7.12.1) (CDC-like kinase 4)	CLK4	Homo sapiens (Human)	481
13543919	P49761	reviewed	CLK3_HUMAN	Dual specificity protein kinase CLK3 (EC 2.7.12.1) (CDC-like kinase 3)	CLK3	Homo sapiens (Human)	638
125536	P15735	reviewed	PHKG2_HUMAN	Phosphorylase b kinase gamma catalytic chain, liver/testis isoform (PHK-gamma-LT) (PHK-gamma-T) (EC 2.7.11.19) (PSK-C3) (Phosphorylase kinase subunit gamma-2)	PHKG2	Homo sapiens (Human)	406
5453882	Q16816	reviewed	PHKG1_HUMAN	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform (PHK-gamma-M) (EC 2.7.11.19) (Phosphorylase kinase subunit gamma-1) (Serine/threonine-protein kinase PHKG1) (EC 2.7.11.1, EC 2.7.11.26)	PHKG1 PHKG	Homo sapiens (Human)	387
565280	P53667	reviewed	LIMK1_HUMAN	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK	Homo sapiens (Human)	647
2078471	P53671	reviewed	LIMK2_HUMAN	LIM domain kinase 2 (LIMK-2) (EC 2.7.11.1)	LIMK2	Homo sapiens (Human)	638
15207801	Q96S53	reviewed	TESK2_HUMAN	Dual specificity testis-specific protein kinase 2 (EC 2.7.12.1) (Testicular protein kinase 2)	TESK2	Homo sapiens (Human)	571
1136442	Q16671	reviewed	AMHR2_HUMAN	Anti-Muellerian hormone type-2 receptor (EC 2.7.11.30) (Anti-Muellerian hormone type II receptor) (AMH type II receptor) (MIS type II receptor) (MISRII) (MRII)	AMHR2 AMHR MISR2	Homo sapiens (Human)	573
6850973	P57058	reviewed	HUNK_HUMAN	Hormonally up-regulated neu tumor-associated kinase (EC 2.7.11.1) (B19) (Serine/threonine-protein kinase MAK-V)	HUNK MAKV	Homo sapiens (Human)	714
15430703	Q96PF2	reviewed	TSSK2_HUMAN	Testis-specific serine/threonine-protein kinase 2 (TSK-2) (TSK2) (TSSK-2) (Testis-specific kinase 2) (EC 2.7.11.1) (DiGeorge syndrome protein G) (DGS-G) (Serine/threonine-protein kinase 22B)	TSSK2 DGSG SPOGA2 STK22B	Homo sapiens (Human)	358
3435114	O75385	reviewed	ULK1_HUMAN	Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1)	ULK1 KIAA0722	Homo sapiens (Human)	1050
547770	P07333	reviewed	CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	CSF1R FMS	Homo sapiens (Human)	972
388522	P35916	reviewed	VGFR3_HUMAN	Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4)	FLT4 VEGFR3	Homo sapiens (Human)	1363
1817734	P10721	reviewed	KIT_HUMAN	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	KIT SCFR	Homo sapiens (Human)	976
4505683	P09619	reviewed	PGFRB_HUMAN	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1	Homo sapiens (Human)	1106
5453870	P16234	reviewed	PGFRA_HUMAN	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)	PDGFRA PDGFR2 RHEPDGFRA	Homo sapiens (Human)	1089
7546569	P35968	reviewed	VGFR2_HUMAN	Vascular endothelial growth factor receptor 2 (VEGFR-2) (EC 2.7.10.1) (Fetal liver kinase 1) (FLK-1) (Kinase insert domain receptor) (KDR) (Protein-tyrosine kinase receptor flk-1) (CD antigen CD309)	KDR FLK1 VEGFR2	Homo sapiens (Human)	1356
231726	Q00526	reviewed	CDK3_HUMAN	Cyclin-dependent kinase 3 (EC 2.7.11.22) (Cell division protein kinase 3)	CDK3 CDKN3	Homo sapiens (Human)	305
266425	Q00536	reviewed	CDK16_HUMAN	Cyclin-dependent kinase 16 (EC 2.7.11.22) (Cell division protein kinase 16) (PCTAIRE-motif protein kinase 1) (Serine/threonine-protein kinase PCTAIRE-1)	CDK16 PCTAIRE1 PCTK1	Homo sapiens (Human)	496
15079361	Q07002	reviewed	CDK18_HUMAN	Cyclin-dependent kinase 18 (EC 2.7.11.22) (Cell division protein kinase 18) (PCTAIRE-motif protein kinase 3) (Serine/threonine-protein kinase PCTAIRE-3)	CDK18 PCTAIRE3 PCTK3	Homo sapiens (Human)	474
1589738	O15111	reviewed	IKKA_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit alpha (I-kappa-B kinase alpha) (IKK-A) (IKK-alpha) (IkBKA) (IkappaB kinase) (EC 2.7.11.10) (Conserved helix-loop-helix ubiquitous kinase) (I-kappa-B kinase 1) (IKK-1) (IKK1) (Nuclear factor NF-kappa-B inhibitor kinase alpha) (NFKBIKA) (Transcription factor 16) (TCF-16)	CHUK IKKA TCF16	Homo sapiens (Human)	745
3213217	O14920	reviewed	IKKB_HUMAN	Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK-2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1)	IKBKB IKKB	Homo sapiens (Human)	756
1778153	P46734	reviewed	MP2K3_HUMAN	Dual specificity mitogen-activated protein kinase kinase 3 (MAP kinase kinase 3) (MAPKK 3) (EC 2.7.12.2) (MAPK/ERK kinase 3) (MEK 3) (Stress-activated protein kinase kinase 2) (SAPK kinase 2) (SAPKK-2) (SAPKK2)	MAP2K3 MEK3 MKK3 PRKMK3 SKK2	Homo sapiens (Human)	347
4506889	P45985	reviewed	MP2K4_HUMAN	Dual specificity mitogen-activated protein kinase kinase 4 (MAP kinase kinase 4) (MAPKK 4) (EC 2.7.12.2) (JNK-activating kinase 1) (MAPK/ERK kinase 4) (MEK 4) (SAPK/ERK kinase 1) (SEK1) (Stress-activated protein kinase kinase 1) (SAPK kinase 1) (SAPKK-1) (SAPKK1) (c-Jun N-terminal kinase kinase 1) (JNKK)	MAP2K4 JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1	Homo sapiens (Human)	399
4092079	Q13470	reviewed	TNK1_HUMAN	Non-receptor tyrosine-protein kinase TNK1 (EC 2.7.10.2) (CD38 negative kinase 1)	TNK1	Homo sapiens (Human)	666
14250828	Q07912	reviewed	ACK1_HUMAN	Activated CDC42 kinase 1 (ACK-1) (EC 2.7.10.2) (EC 2.7.11.1) (Tyrosine kinase non-receptor protein 2)	TNK2 ACK1	Homo sapiens (Human)	1038
6224868	Q9UHD2	reviewed	TBK1_HUMAN	Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1)	TBK1 NAK	Homo sapiens (Human)	729
4507271	Q15831	reviewed	STK11_HUMAN	Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1) (LKB1) (hLKB1) (Renal carcinoma antigen NY-REN-19)	STK11 LKB1 PJS	Homo sapiens (Human)	433
3915750	P37023	reviewed	ACVL1_HUMAN	Serine/threonine-protein kinase receptor R3 (SKR3) (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (TGF-B superfamily receptor type I) (TSR-I)	ACVRL1 ACVRLK1 ALK1	Homo sapiens (Human)	503
4505569	Q92772	reviewed	CDKL2_HUMAN	Cyclin-dependent kinase-like 2 (EC 2.7.11.22) (Protein kinase p56 KKIAMRE) (Serine/threonine-protein kinase KKIAMRE)	CDKL2	Homo sapiens (Human)	493
4507281	O76039	reviewed	CDKL5_HUMAN	Cyclin-dependent kinase-like 5 (EC 2.7.11.22) (Serine/threonine-protein kinase 9)	CDKL5 STK9	Homo sapiens (Human)	960
7108631	Q8IVW4	reviewed	CDKL3_HUMAN	Cyclin-dependent kinase-like 3 (EC 2.7.11.22) (Serine/threonine-protein kinase NKIAMRE)	CDKL3 NKIAMRE	Homo sapiens (Human)	592
7141298	Q9UPZ9	reviewed	CILK1_HUMAN	Serine/threonine-protein kinase ICK (EC 2.7.11.1) (Ciliogenesis associated kinase 1) (Intestinal cell kinase) (hICK) (Laryngeal cancer kinase 2) (LCK2) (MAK-related kinase) (MRK)	CILK1 ICK KIAA0936	Homo sapiens (Human)	632
4503097	P19784	reviewed	CSK22_HUMAN	Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1)	CSNK2A2 CK2A2	Homo sapiens (Human)	350
462203	P34947	reviewed	GRK5_HUMAN	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	GRK5 GPRK5	Homo sapiens (Human)	590
4506529	Q15835	reviewed	GRK1_HUMAN	Rhodopsin kinase GRK1 (RK) (EC 2.7.11.14) (G protein-coupled receptor kinase 1)	GRK1 RHOK	Homo sapiens (Human)	563
266423	Q00534	reviewed	CDK6_HUMAN	Cyclin-dependent kinase 6 (EC 2.7.11.22) (Cell division protein kinase 6) (Serine/threonine-protein kinase PLSTIRE)	CDK6 CDKN6	Homo sapiens (Human)	326
1730068	P10398	reviewed	ARAF_HUMAN	Serine/threonine-protein kinase A-Raf (EC 2.7.11.1) (Proto-oncogene A-Raf) (Proto-oncogene A-Raf-1) (Proto-oncogene Pks)	ARAF ARAF1 PKS PKS2	Homo sapiens (Human)	606
4885696	Q8TD19	reviewed	NEK9_HUMAN	Serine/threonine-protein kinase Nek9 (EC 2.7.11.1) (Nercc1 kinase) (Never in mitosis A-related kinase 9) (NimA-related protein kinase 9) (NimA-related kinase 8) (Nek8)	NEK9 KIAA1995 NEK8 NERCC	Homo sapiens (Human)	979
2316012	Q15759	reviewed	MK11_HUMAN	Mitogen-activated protein kinase 11 (MAP kinase 11) (MAPK 11) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (Stress-activated protein kinase 2b) (SAPK2b) (p38-2)	MAPK11 PRKM11 SAPK2 SAPK2B	Homo sapiens (Human)	364
537327	P36888	reviewed	FLT3_HUMAN	Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)	FLT3 CD135 FLK2 STK1	Homo sapiens (Human)	993
547915	P36507	reviewed	MP2K2_HUMAN	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)	MAP2K2 MEK2 MKK2 PRKMK2	Homo sapiens (Human)	400
12803829	Q9BUB5	reviewed	MKNK1_HUMAN	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)	MKNK1 MNK1	Homo sapiens (Human)	465
125497	P00540	reviewed	MOS_HUMAN	Proto-oncogene serine/threonine-protein kinase mos (EC 2.7.11.1) (Oocyte maturation factor mos) (Proto-oncogene c-Mos)	MOS	Homo sapiens (Human)	346
1171248	Q8IVT5	reviewed	KSR1_HUMAN	Kinase suppressor of Ras 1 (EC 2.7.11.1)	KSR1 KSR	Homo sapiens (Human)	923
547777	P36897	reviewed	TGFR1_HUMAN	TGF-beta receptor type-1 (TGFR-1) (EC 2.7.11.30) (Activin A receptor type II-like protein kinase of 53kD) (Activin receptor-like kinase 5) (ALK-5) (ALK5) (Serine/threonine-protein kinase receptor R4) (SKR4) (TGF-beta type I receptor) (Transforming growth factor-beta receptor type I) (TGF-beta receptor type I) (TbetaR-I)	TGFBR1 ALK5 SKR4	Homo sapiens (Human)	503
18490925	Q8NER5	reviewed	ACV1C_HUMAN	Activin receptor type-1C (EC 2.7.11.30) (Activin receptor type IC) (ACTR-IC) (Activin receptor-like kinase 7) (ALK-7)	ACVR1C ALK7	Homo sapiens (Human)	493
15559784	P29597	reviewed	TYK2_HUMAN	Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2)	TYK2	Homo sapiens (Human)	1187
15929005	P51617	reviewed	IRAK1_HUMAN	Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1)	IRAK1 IRAK	Homo sapiens (Human)	712
